Date,ASII,BBCA,BBNI,BBRI,BMRI,BSDE,INDF,JSMR,KLBF,PGAS,SMGR,TLKM,UNTR,UNVR,WIKA
2022-05-09,7050.0,7600.0,4412.5,4530.0,4162.5,930.0,6125.0,3880.0,1530.0,1450.0,6108.00634765625,4310.0,29225.0,4010.0,925.0
2022-05-10,7000.0,7525.0,4450.0,4530.0,4050.0,915.0,6400.0,3820.0,1615.0,1515.0,6083.07568359375,4340.0,29625.0,4380.0,930.0
2022-05-11,6900.0,7650.0,4387.5,4490.0,4000.0,925.0,6450.0,3860.0,1635.0,1520.0,6457.03515625,4330.0,30225.0,4880.0,925.0
2022-05-12,6850.0,7275.0,4100.0,4320.0,3937.5,900.0,6400.0,3750.0,1580.0,1470.0,6257.58984375,4300.0,29300.0,4690.0,905.0
2022-05-13,7125.0,7325.0,4125.0,4250.0,3900.0,905.0,6450.0,3730.0,1600.0,1495.0,6282.5205078125,4260.0,30225.0,4800.0,915.0
2022-05-17,7000.0,7400.0,4225.0,4450.0,3925.0,905.0,6500.0,3780.0,1625.0,1560.0,6332.3818359375,4180.0,30075.0,4800.0,905.0
2022-05-18,7100.0,7575.0,4375.0,4450.0,3950.0,905.0,6500.0,3820.0,1625.0,1575.0,6457.03515625,4250.0,30300.0,5025.0,910.0
2022-05-19,7000.0,7450.0,4337.5,4440.0,3950.0,900.0,6450.0,3740.0,1605.0,1555.0,6207.72900390625,4210.0,29975.0,4880.0,900.0
2022-05-20,7125.0,7400.0,4387.5,4430.0,4000.0,920.0,6450.0,3670.0,1625.0,1575.0,6332.3818359375,4170.0,29900.0,5050.0,905.0
2022-05-23,6950.0,7375.0,4425.0,4330.0,3937.5,915.0,6400.0,3680.0,1630.0,1555.0,6481.9658203125,4110.0,29650.0,4880.0,905.0
2022-05-24,7150.0,7350.0,4537.5,4460.0,3962.5,915.0,6275.0,3720.0,1615.0,1695.0,6681.4111328125,4150.0,30300.0,4810.0,935.0
2022-05-25,7100.0,7375.0,4462.5,4350.0,3925.0,915.0,6400.0,3800.0,1630.0,1775.0,6506.896484375,4200.0,30175.0,4770.0,925.0
2022-05-27,7225.0,7575.0,4600.0,4540.0,4050.0,925.0,6425.0,3850.0,1610.0,1780.0,6681.4111328125,4300.0,30400.0,4760.0,940.0
2022-05-30,7250.0,7575.0,4600.0,4430.0,4100.0,930.0,6450.0,4010.0,1630.0,1780.0,7155.0927734375,4250.0,30250.0,4650.0,965.0
2022-05-31,7350.0,7750.0,4587.5,4630.0,4250.0,945.0,6600.0,4000.0,1675.0,1800.0,7279.74609375,4310.0,31300.0,4730.0,965.0
2022-06-02,7325.0,7575.0,4425.0,4480.0,4100.0,935.0,6700.0,3970.0,1605.0,1785.0,7155.0927734375,4290.0,31625.0,4790.0,950.0
2022-06-03,7300.0,7600.0,4475.0,4520.0,4100.0,930.0,6675.0,3920.0,1600.0,1790.0,7080.30126953125,4310.0,32600.0,4720.0,955.0
2022-06-06,7225.0,7450.0,4450.0,4430.0,4075.0,945.0,6925.0,3900.0,1640.0,1785.0,7180.0234375,4340.0,32175.0,4770.0,945.0
2022-06-07,7200.0,7375.0,4450.0,4400.0,4150.0,935.0,6925.0,3870.0,1595.0,1775.0,7130.16259765625,4250.0,32825.0,4730.0,930.0
2022-06-08,7175.0,7600.0,4500.0,4470.0,4200.0,935.0,6975.0,3930.0,1625.0,1690.0,7204.9541015625,4100.0,33050.0,4890.0,980.0
2022-06-09,7200.0,7500.0,4337.5,4490.0,4212.5,920.0,6875.0,3950.0,1635.0,1680.0,6980.57861328125,4050.0,32400.0,4820.0,965.0
2022-06-10,6925.0,7350.0,4150.0,4400.0,4087.5,910.0,6875.0,3930.0,1625.0,1680.0,6880.85595703125,4020.0,32200.0,4750.0,935.0
2022-06-13,7025.0,7350.0,4125.0,4340.0,4050.0,895.0,6825.0,3810.0,1625.0,1640.0,6531.8271484375,4080.0,30675.0,4690.0,915.0
2022-06-14,6975.0,7400.0,4137.5,4360.0,4100.0,905.0,6875.0,3880.0,1625.0,1730.0,6806.06396484375,4110.0,31550.0,4740.0,915.0
2022-06-15,6700.0,7325.0,4137.5,4450.0,4150.0,895.0,6800.0,3750.0,1615.0,1715.0,6880.85595703125,4060.0,29750.0,4800.0,905.0
2022-06-16,6850.0,7575.0,4125.0,4430.0,4187.5,905.0,6800.0,3700.0,1625.0,1820.0,6880.85595703125,4040.0,30000.0,4800.0,915.0
2022-06-17,6950.0,7500.0,4087.5,4370.0,4037.5,895.0,6825.0,3790.0,1625.0,1800.0,6806.06396484375,4120.0,28800.0,4650.0,915.0
2022-06-20,6925.0,7625.0,4062.5,4400.0,4125.0,905.0,6900.0,3690.0,1620.0,1775.0,7080.30126953125,4040.0,29000.0,5025.0,915.0
2022-06-21,6850.0,7650.0,4225.0,4380.0,4125.0,900.0,6875.0,3690.0,1625.0,1770.0,7130.16259765625,4110.0,29150.0,5050.0,910.0
2022-06-22,6800.0,7500.0,4075.0,4320.0,4075.0,895.0,6975.0,3670.0,1625.0,1765.0,7130.16259765625,4050.0,29200.0,4890.0,905.0
2022-06-23,6875.0,7525.0,4075.0,4310.0,4075.0,905.0,7125.0,3660.0,1700.0,1725.0,7279.74609375,4160.0,29275.0,4960.0,950.0
